Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
24,2018-05-07 04:05:00+00:00,2018-05-14 04:00:00+00:00,1,0,1,-0.01780131999999994
25,2018-05-14 04:05:00+00:00,2018-05-21 04:00:00+00:00,0,0,0,0.0
26,2018-05-21 04:05:00+00:00,2018-05-28 04:00:00+00:00,1,0,1,-0.01651616000000003
27,2018-05-28 04:05:00+00:00,2018-06-04 04:00:00+00:00,1,0,1,-0.016368160000000034
28,2018-06-04 04:05:00+00:00,2018-06-11 04:00:00+00:00,0,0,0,0.0
29,2018-06-11 04:05:00+00:00,2018-06-18 04:00:00+00:00,2,1,1,-0.01513658000000001
30,2018-06-18 04:05:00+00:00,2018-06-25 04:00:00+00:00,0,0,0,0.0
31,2018-06-25 04:05:00+00:00,2018-07-02 04:00:00+00:00,0,0,0,0.0
32,2018-07-02 04:05:00+00:00,2018-07-09 04:00:00+00:00,0,0,0,0.0
33,2018-07-09 04:05:00+00:00,2018-07-16 04:00:00+00:00,0,0,0,0.0
34,2018-07-16 04:05:00+00:00,2018-07-23 04:00:00+00:00,0,0,0,0.0
35,2018-07-23 04:05:00+00:00,2018-07-30 04:00:00+00:00,0,0,0,0.0
36,2018-07-30 04:05:00+00:00,2018-08-06 04:00:00+00:00,0,0,0,0.0
37,2018-08-06 04:05:00+00:00,2018-08-13 04:00:00+00:00,1,0,1,-0.015687039999999985
38,2018-08-13 04:05:00+00:00,2018-08-20 04:00:00+00:00,1,0,1,-0.01512263999999991
39,2018-08-20 04:05:00+00:00,2018-08-27 04:00:00+00:00,0,0,0,0.0
40,2018-08-27 04:05:00+00:00,2018-09-03 04:00:00+00:00,0,0,0,0.0
41,2018-09-03 04:05:00+00:00,2018-09-10 04:00:00+00:00,0,0,0,0.0
42,2018-09-10 04:05:00+00:00,2018-09-17 04:00:00+00:00,0,0,0,0.0
43,2018-09-17 04:05:00+00:00,2018-09-24 04:00:00+00:00,0,0,0,0.0
44,2018-09-24 04:05:00+00:00,2018-10-01 04:00:00+00:00,0,0,0,0.0
45,2018-10-01 04:05:00+00:00,2018-10-08 04:00:00+00:00,0,0,0,0.0
46,2018-10-08 04:05:00+00:00,2018-10-15 04:00:00+00:00,0,0,0,0.0
47,2018-10-15 04:05:00+00:00,2018-10-22 04:00:00+00:00,0,0,0,0.0
48,2018-10-22 04:05:00+00:00,2018-10-29 04:00:00+00:00,0,0,0,0.0
