Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
41,2018-09-03 12:15:00+00:00,2018-09-10 12:00:00+00:00,0,0,0,0.0
42,2018-09-10 12:15:00+00:00,2018-09-17 12:00:00+00:00,0,0,0,0.0
43,2018-09-17 12:15:00+00:00,2018-09-24 12:00:00+00:00,0,0,0,0.0
44,2018-09-24 12:15:00+00:00,2018-10-01 12:00:00+00:00,0,0,0,0.0
45,2018-10-01 12:15:00+00:00,2018-10-08 12:00:00+00:00,0,0,0,0.0
46,2018-10-08 12:15:00+00:00,2018-10-15 12:00:00+00:00,0,0,0,0.0
47,2018-10-15 12:15:00+00:00,2018-10-22 12:00:00+00:00,0,0,0,0.0
48,2018-10-22 12:15:00+00:00,2018-10-29 12:00:00+00:00,0,0,0,0.0
49,2018-10-29 12:15:00+00:00,2018-11-05 12:00:00+00:00,0,0,0,0.0
50,2018-11-05 12:15:00+00:00,2018-11-12 12:00:00+00:00,0,0,0,0.0
51,2018-11-12 12:15:00+00:00,2018-11-19 12:00:00+00:00,1,1,0,0.003921100000000011
52,2018-11-19 12:15:00+00:00,2018-11-26 12:00:00+00:00,0,0,0,0.0
53,2018-11-26 12:15:00+00:00,2018-12-03 12:00:00+00:00,0,0,0,0.0
54,2018-12-03 12:15:00+00:00,2018-12-10 12:00:00+00:00,1,0,1,-0.017845079999999958
55,2018-12-10 12:15:00+00:00,2018-12-17 12:00:00+00:00,1,0,1,-0.025018100000000043
56,2018-12-17 12:15:00+00:00,2018-12-24 12:00:00+00:00,0,0,0,0.0
57,2018-12-24 12:15:00+00:00,2018-12-31 12:00:00+00:00,0,0,0,0.0
58,2018-12-31 12:15:00+00:00,2019-01-07 12:00:00+00:00,2,1,1,-0.02524009999999971
59,2019-01-07 12:15:00+00:00,2019-01-14 12:00:00+00:00,0,0,0,0.0
60,2019-01-14 12:15:00+00:00,2019-01-21 12:00:00+00:00,1,1,0,0.007006779999999879
61,2019-01-21 12:15:00+00:00,2019-01-28 12:00:00+00:00,0,0,0,0.0
62,2019-01-28 12:15:00+00:00,2019-02-04 12:00:00+00:00,0,0,0,0.0
63,2019-02-04 12:15:00+00:00,2019-02-11 12:00:00+00:00,0,0,0,0.0
64,2019-02-11 12:15:00+00:00,2019-02-18 12:00:00+00:00,0,0,0,0.0
65,2019-02-18 12:15:00+00:00,2019-02-25 12:00:00+00:00,0,0,0,0.0
66,2019-02-25 12:15:00+00:00,2019-03-04 12:00:00+00:00,0,0,0,0.0
67,2019-03-04 12:15:00+00:00,2019-03-11 12:00:00+00:00,0,0,0,0.0
68,2019-03-11 12:15:00+00:00,2019-03-18 12:00:00+00:00,2,1,1,0.019852839999999983
69,2019-03-18 12:15:00+00:00,2019-03-25 12:00:00+00:00,0,0,0,0.0
70,2019-03-25 12:15:00+00:00,2019-04-01 12:00:00+00:00,0,0,0,0.0
71,2019-04-01 12:15:00+00:00,2019-04-08 12:00:00+00:00,0,0,0,0.0
72,2019-04-08 12:15:00+00:00,2019-04-15 12:00:00+00:00,0,0,0,0.0
73,2019-04-15 12:15:00+00:00,2019-04-22 12:00:00+00:00,0,0,0,0.0
74,2019-04-22 12:15:00+00:00,2019-04-29 12:00:00+00:00,0,0,0,0.0
75,2019-04-29 12:15:00+00:00,2019-05-06 12:00:00+00:00,1,1,0,0.00788291999999996
76,2019-05-06 12:15:00+00:00,2019-05-13 12:00:00+00:00,0,0,0,0.0
77,2019-05-13 12:15:00+00:00,2019-05-20 12:00:00+00:00,0,0,0,0.0
78,2019-05-20 12:15:00+00:00,2019-05-27 12:00:00+00:00,0,0,0,0.0
79,2019-05-27 12:15:00+00:00,2019-06-03 12:00:00+00:00,0,0,0,0.0
80,2019-06-03 12:15:00+00:00,2019-06-10 12:00:00+00:00,0,0,0,0.0
81,2019-06-10 12:15:00+00:00,2019-06-17 12:00:00+00:00,0,0,0,0.0
82,2019-06-17 12:15:00+00:00,2019-06-24 12:00:00+00:00,0,0,0,0.0
83,2019-06-24 12:15:00+00:00,2019-07-01 12:00:00+00:00,0,0,0,0.0
84,2019-07-01 12:15:00+00:00,2019-07-08 12:00:00+00:00,0,0,0,0.0
85,2019-07-08 12:15:00+00:00,2019-07-15 12:00:00+00:00,0,0,0,0.0
86,2019-07-15 12:15:00+00:00,2019-07-22 12:00:00+00:00,0,0,0,0.0
87,2019-07-22 12:15:00+00:00,2019-07-29 12:00:00+00:00,0,0,0,0.0
88,2019-07-29 12:15:00+00:00,2019-08-05 12:00:00+00:00,2,1,1,0.07030554000000017
89,2019-08-05 12:15:00+00:00,2019-08-12 12:00:00+00:00,1,0,1,-0.016208759999999933
90,2019-08-12 12:15:00+00:00,2019-08-19 12:00:00+00:00,0,0,0,0.0
91,2019-08-19 12:15:00+00:00,2019-08-26 12:00:00+00:00,0,0,0,0.0
92,2019-08-26 12:15:00+00:00,2019-09-02 12:00:00+00:00,0,0,0,0.0
93,2019-09-02 12:15:00+00:00,2019-09-09 12:00:00+00:00,0,0,0,0.0
94,2019-09-09 12:15:00+00:00,2019-09-16 12:00:00+00:00,0,0,0,0.0
95,2019-09-16 12:15:00+00:00,2019-09-23 12:00:00+00:00,0,0,0,0.0
96,2019-09-23 12:15:00+00:00,2019-09-30 12:00:00+00:00,0,0,0,0.0
97,2019-09-30 12:15:00+00:00,2019-10-07 12:00:00+00:00,0,0,0,0.0
98,2019-10-07 12:15:00+00:00,2019-10-14 12:00:00+00:00,2,1,1,0.020616559999999895
99,2019-10-14 12:15:00+00:00,2019-10-21 12:00:00+00:00,3,0,3,-0.05939356000000029
100,2019-10-21 12:15:00+00:00,2019-10-28 12:00:00+00:00,0,0,0,0.0
101,2019-10-28 12:15:00+00:00,2019-11-04 12:00:00+00:00,0,0,0,0.0
102,2019-11-04 12:15:00+00:00,2019-11-11 12:00:00+00:00,0,0,0,0.0
103,2019-11-11 12:15:00+00:00,2019-11-18 12:00:00+00:00,0,0,0,0.0
104,2019-11-18 12:15:00+00:00,2019-11-25 12:00:00+00:00,0,0,0,0.0
105,2019-11-25 12:15:00+00:00,2019-12-02 12:00:00+00:00,0,0,0,0.0
106,2019-12-02 12:15:00+00:00,2019-12-09 12:00:00+00:00,1,0,1,-0.0182032399999999
107,2019-12-09 12:15:00+00:00,2019-12-16 12:00:00+00:00,2,0,2,-0.04952300000000004
108,2019-12-16 12:15:00+00:00,2019-12-23 12:00:00+00:00,2,1,1,0.01346523999999999
109,2019-12-23 12:15:00+00:00,2019-12-30 12:00:00+00:00,0,0,0,0.0
110,2019-12-30 12:15:00+00:00,2020-01-06 12:00:00+00:00,0,0,0,0.0
111,2020-01-06 12:15:00+00:00,2020-01-13 12:00:00+00:00,0,0,0,0.0
112,2020-01-13 12:15:00+00:00,2020-01-20 12:00:00+00:00,0,0,0,0.0
113,2020-01-20 12:15:00+00:00,2020-01-27 12:00:00+00:00,0,0,0,0.0
114,2020-01-27 12:15:00+00:00,2020-02-03 12:00:00+00:00,0,0,0,0.0
115,2020-02-03 12:15:00+00:00,2020-02-10 12:00:00+00:00,1,0,1,-0.015501920000000113
116,2020-02-10 12:15:00+00:00,2020-02-17 12:00:00+00:00,0,0,0,0.0
117,2020-02-17 12:15:00+00:00,2020-02-24 12:00:00+00:00,0,0,0,0.0
118,2020-02-24 12:15:00+00:00,2020-03-02 12:00:00+00:00,1,0,1,-0.01769917999999998
119,2020-03-02 12:15:00+00:00,2020-03-09 12:00:00+00:00,2,1,1,0.00570408
120,2020-03-09 12:15:00+00:00,2020-03-16 12:00:00+00:00,3,1,2,0.011335100000000209
121,2020-03-16 12:15:00+00:00,2020-03-23 12:00:00+00:00,10,3,7,-0.08188892000000025
122,2020-03-23 12:15:00+00:00,2020-03-30 12:00:00+00:00,4,0,4,-0.06737165999999983
123,2020-03-30 12:15:00+00:00,2020-04-06 12:00:00+00:00,0,0,0,0.0
124,2020-04-06 12:15:00+00:00,2020-04-13 12:00:00+00:00,0,0,0,0.0
125,2020-04-13 12:15:00+00:00,2020-04-20 12:00:00+00:00,1,0,1,-0.018543900000000058
126,2020-04-20 12:15:00+00:00,2020-04-27 12:00:00+00:00,0,0,0,0.0
127,2020-04-27 12:15:00+00:00,2020-05-04 12:00:00+00:00,0,0,0,0.0
128,2020-05-04 12:15:00+00:00,2020-05-11 12:00:00+00:00,0,0,0,0.0
129,2020-05-11 12:15:00+00:00,2020-05-18 12:00:00+00:00,0,0,0,0.0
130,2020-05-18 12:15:00+00:00,2020-05-25 12:00:00+00:00,0,0,0,0.0
131,2020-05-25 12:15:00+00:00,2020-06-01 12:00:00+00:00,0,0,0,0.0
132,2020-06-01 12:15:00+00:00,2020-06-08 12:00:00+00:00,1,0,1,-0.01585091999999999
133,2020-06-08 12:15:00+00:00,2020-06-15 12:00:00+00:00,0,0,0,0.0
134,2020-06-15 12:15:00+00:00,2020-06-22 12:00:00+00:00,0,0,0,0.0
135,2020-06-22 12:15:00+00:00,2020-06-29 12:00:00+00:00,0,0,0,0.0
136,2020-06-29 12:15:00+00:00,2020-07-06 12:00:00+00:00,0,0,0,0.0
137,2020-07-06 12:15:00+00:00,2020-07-13 12:00:00+00:00,0,0,0,0.0
138,2020-07-13 12:15:00+00:00,2020-07-20 12:00:00+00:00,0,0,0,0.0
139,2020-07-20 12:15:00+00:00,2020-07-27 12:00:00+00:00,1,0,1,-0.018381800000000004
140,2020-07-27 12:15:00+00:00,2020-08-03 12:00:00+00:00,2,0,2,-0.036493599999999904
141,2020-08-03 12:15:00+00:00,2020-08-10 12:00:00+00:00,0,0,0,0.0
142,2020-08-10 12:15:00+00:00,2020-08-17 12:00:00+00:00,0,0,0,0.0
143,2020-08-17 12:15:00+00:00,2020-08-24 12:00:00+00:00,1,0,1,-0.01949405999999998
144,2020-08-24 12:15:00+00:00,2020-08-31 12:00:00+00:00,1,0,1,-0.016663739999999927
